adduser	3.118ubuntu5
python3	3.10.6-1~22.04.1
python3-attr	21.2.0-1ubuntu1
python3-dev	3.10.6-1~22.04.1
python3-distutils	3.10.8-1~22.04
python3-importlib-metadata	4.6.4-1
python3-jsonschema	3.2.0-0ubuntu2
python3-lib2to3	3.10.8-1~22.04
python3-minimal	3.10.6-1~22.04.1
python3-more-itertools	8.10.0-2
python3-pathspec	0.9.0-1
python3-pexpect	4.8.0-2ubuntu1
python3-pip	22.0.2+dfsg-1ubuntu0.7
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-ptyprocess	0.7.0-3
python3-pyrsistent	0.18.1-1build1
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-six	1.16.0-3ubuntu1
python3-wheel	0.37.1-2ubuntu0.22.04.1
python3-yaml	5.4.1-1ubuntu1
python3-zipp	1.0.0-3ubuntu0.1
readline-common	8.1.2-1
rpcsvc-proto	1.4.2-0ubuntu6
rsync	3.2.7-0ubuntu0.22.04.7
sbsigntool	0.9.4-2ubuntu2
sed	4.8-1ubuntu2
sensible-utils	0.0.17
shared-mime-info	2.1-2
socat	1.7.4.1-3ubuntu4
sound-theme-freedesktop	0.8-2ubuntu1
sudo	1.9.9-1ubuntu2.6
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tex-common	6.17
texinfo	6.8-4build1
tmux	3.2a-4ubuntu0.2
ubuntu-keyring	2021.03.26
ubuntu-mono	20.10-0ubuntu2
ucf	3.0043
unzip	6.0-26ubuntu3.2
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.4
uuid-dev	2.37.2-4ubuntu3.5
uuid-runtime	2.37.2-4ubuntu3.5
vim	2:8.2.3995-1ubuntu2.34
vim-common	2:8.2.3995-1ubuntu2.34
vim-runtime	2:8.2.3995-1ubuntu2.34
wget	1.21.2-2ubuntu1.3
x11-common	1:7.7+23ubuntu2
x11proto-dev	2021.5-1
x11-utils	7.7+5build2
xauth	1:1.1-1build2
xbitmaps	1.1.1-2.1ubuntu1
xdg-user-dirs	0.17-2ubuntu4
xorg-sgml-doctools	1:1.11-1.1
xterm	372-1ubuntu1
xtrans-dev	1.4.0-1
xxd	2:8.2.3995-1ubuntu2.34
xz-utils	5.2.5-2ubuntu1.1
yamllint	1.26.3-1
zip	3.0-12build2
zlib1g	1:1.2.11.dfsg-2ubuntu9.2
zlib1g	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev	1:1.2.11.dfsg-2ubuntu9.2
zstd	1.4.8+dfsg-3build1
